name,id
ckeditor4,CVE-2021-23562
plupload,*
@backstage/plugin-scaffolder-backend,CVE-2021-37981
electron,CVE-2021-37984
electron,CVE-2021-37987
electron,CVE-2021-37996
electron,CVE-2021-38003
electron,CVE-2021-37992
electron,CVE-2021-25987
hexo,*
richdocuments,CVE-2021-43783
@backstage/plugin-scaffolder-backend,CVE-2021-43787
nodebb,CVE-2021-43786
nodebb,*
@vue/cli,CVE-2021-34436
@theia/core,CVE-2021-37979
electron,CVE-2021-43776
@backstage/plugin-auth-backend,CVE-2021-43785
@joeattardi/emoji-button,CVE-2021-38002
electron,CVE-2021-37998
electron,CVE-2021-38001
electron,CVE-2021-37979
electron,*
ag-grid-community,*
@claviska/jquery-minicolors,*
utils-copy,CVE-2021-40829
aws-crt,CVE-2021-40831
aws-crt,CVE-2021-40828
aws-crt,CVE-2021-40830
aws-crt,CVE-2021-23433
algoliasearch-helper,CVE-2021-41164
ckeditor4,CVE-2021-41165
ckeditor4,CVE-2021-23718
ssrf-agent,CVE-2021-25984
@factor/plugin-forum,CVE-2021-25985
@factor/cli,CVE-2021-41038
@theia/plugin-ext,*
terminal-kit,*
@openzeppelin/contracts,*
@openzeppelin/contracts-upgradeable,CVE-2021-25982
@factor/plugin-forum,CVE-2021-25983
@factor/plugin-forum,CVE-2021-41264
@openzeppelin/contracts,CVE-2021-41264
@openzeppelin/contracts-upgradeable,CVE-2021-3918
json-schema,*
@xvideos/alerts,*
@pornhub/alerts,*
@cyyynthia/tokenize,*
natural,*
uswds,*
uglify-js,*
starkbank-ecdsa,CVE-2021-41249
apollo-server,CVE-2021-41249
graphql-playground-react,CVE-2021-25978
apostrophe,CVE-2021-32481
gethue,CVE-2021-25979
apostrophe,CVE-2021-41251
@sap-cloud-sdk/core,CVE-2021-43788
nodebb,CVE-2021-41248
graphiql,CVE-2021-37976
electron,CVE-2021-37978
electron,CVE-2021-42057
obsidian-dataview,*
coa,*
rc,CVE-2021-41174
@grafana/data,CVE-2021-41134
nbdime,CVE-2021-41134
nbdime-jupyterlab,CVE-2021-37975
electron,CVE-2021-37970
electron,CVE-2021-37968
electron,CVE-2021-37967
electron,*
tinymce,CVE-2021-23784
tempura,CVE-2021-23624
dotty,CVE-2021-23509
json-ptr,CVE-2021-23820
json-pointer,CVE-2021-23807
jsonpointer,CVE-2021-23472
bootstrap-table,*
@brikcss/merge,CVE-2021-37980
electron,CVE-2021-23732
docker-cli-js,CVE-2020-26707
aaptjs,CVE-2021-41748
portainer,CVE-2020-22864
froala-editor,*
ramda,*
noblox.js-proxies,*
noblox.js-proxy,CVE-2021-41184
jquery-ui,CVE-2021-41182
jquery-ui,CVE-2021-41183
jquery-ui,*
tinymce,*
conventional-commits-parser,CVE-2021-23673
pekeupload,*
ua-parser-js,CVE-2021-42740
shell-quote,CVE-2021-41167
modern-async,*
klow,*
klown,*
okhsa,CVE-2021-42228
kindeditor,*
xss,CVE-2021-23451
otp-generator,*
git,CVE-2021-23452
x-assign,CVE-2021-41151
@backstage/plugin-scaffolder-backend,CVE-2021-42227
kindeditor,CVE-2021-23449
vm2,*
uppy,CVE-2019-18413
class-validator,CVE-2021-22964
fastify-static,CVE-2021-39184
electron,*
@redocly/openapi-cli,CVE-2021-22960
llhttp,CVE-2021-22959
llhttp,CVE-2021-41117
keypair,CVE-2021-3868
prompts,CVE-2021-23448
config-handler,CVE-2021-23447
teddy,CVE-2021-22963
fastify-static,CVE-2021-41109
parse-server,CVE-2021-37973
electron,CVE-2021-37960
electron,CVE-2020-1915
hermes-engine,CVE-2021-30086
kindeditor,CVE-2021-37267
kindeditor,CVE-2021-23446
handsontable,CVE-2021-30633
electron,CVE-2021-30628
electron,CVE-2021-30626
electron,CVE-2021-30630
electron,CVE-2021-30631
electron,CVE-2021-30627
electron,CVE-2021-30632
electron,CVE-2021-3822
jsoneditor,CVE-2021-3820
i,CVE-2021-23445
datatables.net,*
ghost,*
@asyncapi/modelina,CVE-2020-26301
ssh2,*
ghost,CVE-2021-32265
bento4,CVE-2021-23444
