s.no,CVE,pacakage name,function,description about the function,Exploit availability,,,
1,[CVE-2021-25946](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25946),nconf-toml,parse(),,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25946](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25946),[CVE-2021-25946](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25946) [CVE-2021-25945](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25945) [CVE-2021-25944](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25944) [CVE-2021-25943](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25943) [CVE-2021-25941](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25941) [CVE-2021-25928](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25928) [CVE-2021-25927](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25927) [CVE-2021-25915](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25915) [CVE-2021-25914](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25914) [CVE-2021-25913](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25913) [CVE-2021-25912](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25912) [CVE-2021-23329](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23329) [CVE-2020-8268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8268) [CVE-2020-8158](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8158) [CVE-2020-8147](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8147) [CVE-2020-28442](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28442) [CVE-2020-7771](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7771) [CVE-2020-7768](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7768) [CVE-2020-7766](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7766) [CVE-2020-7737](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7737) [CVE-2020-7736](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7736) [CVE-2020-7727](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7727) [CVE-2020-7725](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7725) [CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724) [CVE-2020-7723](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7723) [CVE-2020-7722](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7722) [CVE-2020-7721](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7721) [CVE-2020-7720](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7720) [CVE-2020-7719](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7719) ) [CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717) [CVE-2020-7716](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7716) [CVE-2020-7714](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7714) [CVE-2020-7713](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7713) [CVE-2020-7704](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7704) [CVE-2020-7703](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7703) [CVE-2020-7702](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7702) [CVE-2020-7701](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7701) [CVE-2020-7700](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7700) [CVE-2020-7679](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7679) [CVE-2020-7643](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7643) [CVE-2020-7637](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7637) [CVE-2020-7600](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7600) [CVE-2020-28503](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28503) [CVE-2020-28499](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28499) [CVE-2020-28495](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28495) [CVE-2020-28480](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28480) [CVE-2020-28283](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28283) [CVE-2020-28282](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28282) [CVE-2020-28281](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28281) [CVE-2020-28280](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28280) [CVE-2020-28279](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28279) [CVE-2020-28277](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28277) [CVE-2020-28276](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28276) [CVE-2020-28274](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28274) [CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273) [CVE-2020-28272](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28272) [CVE-2020-28271](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28271) [CVE-2020-28269](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28269) [CVE-2020-28268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28268) [CVE-2020-28267](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28267) [CVE-2020-15256](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-15256) [CVE-2020-26245](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-26245) [CVE-2019-10793](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10793) [CVE-2019-10792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10792) [CVE-2019-10750](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10750) [CVE-2019-10747](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10747) [CVE-2019-10746](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10746) [CVE-2019-10745](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10745) [CVE-2018-16492](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16492) [CVE-2018-16491](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16491) [CVE-2018-16490](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16490) [CVE-2018-16489](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16489) [CVE-2018-16486](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16486) [CVE-2018-3728](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3728) [CVE-2018-3749](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3749) [CVE-2018-3751](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3751) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717) [CVE-2020-7765](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7765) [CVE-2020-28477](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28477) [CVE-2020-28461](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28461) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [CVE-2020-7608](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7608) [CVE-2020-7774](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7774) [CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-) [CVE-2020-28278](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28278) [CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273) [CVE-2020-7707](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7707) [CVE-2021-25949](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25949) [CVE-2021-25948](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25948) [CVE-2020-7792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7792) [CVE-2020-7726](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7726) [CVE-2020-7708](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7708) [CVE-2021-28860](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28860)
2,[CVE-2021-25945](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25945),js-extend,"extend(o1,o2)",extends object o1 with o2's property,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25945](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25945),
3,[CVE-2021-25944](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25944),deep-defaults, deep-defaults(),but recursively copies only the missing properties/values to the target object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25944](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25944),
4,[CVE-2021-25943](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25943),101,set(),returns the same obj with the key and value set,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25943](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25943),
5,[CVE-2021-25941](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25941),deep-override,deepoverride(),recursive object extending & overriding,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25941](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25941),
6,[CVE-2021-25928](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25928),safe-obj,expand(),assign to any arbitrarily deep and non-existent property on an object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25928](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25928),
7,[CVE-2021-25927](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25927),safe-flat,"unflatten(obj, [delimiter])",Unflats an object back to its original nested form,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25927](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25927),
8,[CVE-2021-25915](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25915),changeset,"apply(changes, a, true);","changes the properties od 'a' with ""change""",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25915](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25915),
9,[CVE-2021-25914](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25914),Object Collider,"collide(obj1, obj2)",the default behaviour of this library is to concatenate array items at the same path,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25914](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25914),
