Vulnerability,Package Name,Details Page,CVE,POC Available,Affected Version,Github Link
Arbitrary File Upload,plupload,https://security.snyk.io/vuln/SNYK-JS-PLUPLOAD-1583909,CVE-2021-23562,False,<2.3.9 ,https://github.com/moxiecode/plupload/commit/d12175d4b5fa799b994ee1bb17bfbeec55b386fb
Cross-site Scripting (XSS),hexo,https://security.snyk.io/vuln/SNYK-JS-HEXO-1932976,CVE-2021-25987,False,<6.0.0 ,https://github.com/hexojs/hexo/pull/4743/commits/5170df2d3fa9c69e855c4b7c2b084ebfd92d5200
Directory Traversal,@backstage/plugin-scaffolder-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-1932570,CVE-2021-43783,False,<0.15.14 ,https://github.com/backstage/backstage/commit/f9352ab606367cd9efc6ff048915c70ed3013b7f
Prototype Pollution,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1932612,CVE-2021-43787,False,* ,https://github.com/NodeBB/NodeBB/commit/1783f918bc19568f421473824461ff2ed7755e4c
Improper Authentication,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1932613,CVE-2021-43786,False,* ,https://github.com/NodeBB/NodeBB/commit/04dab1d550cdebf4c1567bca9a51f8b9ca48a500
Cross-site Scripting (XSS),@backstage/plugin-auth-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINAUTHBACKEND-1932526,CVE-2021-43776,False,<0.4.9 ,
Cross-site Scripting (XSS),@joeattardi/emoji-button,https://security.snyk.io/vuln/SNYK-JS-JOEATTARDIEMOJIBUTTON-1932527,CVE-2021-43785,False,<4.6.2 ,https://github.com/joeattardi/emoji-button/commit/05970c09180cd27fff493e998ac5bf0468b1bb16
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924900,CVE-2021-40829,False,<1.8.2 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924913,CVE-2021-40831,False,<1.9.0 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924945,CVE-2021-40828,False,<1.7.1 ,https://github.com/awslabs/aws-crt-java/commit/b6f353d8a63c5e42e24153fe45b139400c788b58
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924999,CVE-2021-40830,False,<1.8.2 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Prototype Pollution,algoliasearch-helper,https://security.snyk.io/vuln/SNYK-JS-ALGOLIASEARCHHELPER-1570421,CVE-2021-23433,True,<3.6.2 ,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd
Cross-site Scripting (XSS),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-1922735,CVE-2021-41164,False,<4.17.0 ,
Cross-site Scripting (XSS),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-1922733,CVE-2021-41165,False,<4.17.0 ,
Server-side Request Forgery (SSRF),ssrf-agent,https://security.snyk.io/vuln/SNYK-JS-SSRFAGENT-1584362,CVE-2021-23718,True,<1.0.5 ,
Improper Verification of Source of a Communication Channel,@theia/plugin-ext,https://security.snyk.io/vuln/SNYK-JS-THEIAPLUGINEXT-1921089,CVE-2021-41038,False,<1.18.0 ,https://github.com/eclipse-theia/theia/commit/4ba87c8a4e7949e6b053e381372f8c0f6d7ef195
Improper Initialization,@openzeppelin/contracts,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTS-1920946,CVE-2021-41264,False,>=4.1.0 <4.3.2 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/024cc50df478d2e8f78539819749e94d6df60592
Improper Initialization,@openzeppelin/contracts-upgradeable,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTSUPGRADEABLE-1920947,CVE-2021-41264,False,>=4.1.0 <4.3.2 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/024cc50df478d2e8f78539819749e94d6df60592
Prototype Pollution,json-schema,https://security.snyk.io/vuln/SNYK-JS-JSONSCHEMA-1920922,CVE-2021-3918,False,<0.4.0 ,https://github.com/kriszyp/json-schema/commit/22f146111f541d9737e832823699ad3528ca7741
Cross-site Scripting (XSS),apollo-server,https://security.snyk.io/vuln/SNYK-JS-APOLLOSERVER-1912891,CVE-2021-41249,False,<2.25.3 >=3.0.0 <3.4.1 ,
Cross-site Scripting (XSS),graphql-playground-react,https://security.snyk.io/vuln/SNYK-JS-GRAPHQLPLAYGROUNDREACT-1913042,CVE-2021-41249,False,<1.7.28 ,
Cross-site Scripting (XSS),apostrophe,https://security.snyk.io/vuln/SNYK-JS-APOSTROPHE-1912880,CVE-2021-25978,False,>=2.63.0 <3.4.0 ,https://github.com/apostrophecms/apostrophe/commit/c8b94ee9c79468f1ce28e31966cb0e0839165e59
Insufficient Session Expiration,apostrophe,https://security.snyk.io/vuln/SNYK-JS-APOSTROPHE-1912882,CVE-2021-25979,False,>=2.63.0 <3.4.0 ,https://github.com/apostrophecms/apostrophe/commit/c211b211f9f4303a77a307cf41aac9b4ef8d2c7c
Information Exposure,@sap-cloud-sdk/core,https://security.snyk.io/vuln/SNYK-JS-SAPCLOUDSDKCORE-1912613,CVE-2021-41251,False,<1.52.0 ,
Directory Traversal,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1912652,CVE-2021-43788,False,* ,https://github.com/NodeBB/NodeBB/commit/c8b2fc46dc698db687379106b3f01c71b80f495f
Cross-site Scripting (XSS),graphiql,https://security.snyk.io/vuln/SNYK-JS-GRAPHIQL-1912088,CVE-2021-41248,False,>=0.5.0 <1.4.7 ,https://github.com/graphql/graphiql/commit/cb237eeeaf7333c4954c752122261db7520f7bf4
Cross-site Scripting (XSS),@grafana/data,https://security.snyk.io/vuln/SNYK-JS-GRAFANADATA-1910932,CVE-2021-41174,False,<8.2.3 ,https://github.com/grafana/grafana/commit/31b78d51c693d828720a5b285107a50e6024c912
Cross-site Scripting (XSS),nbdime-jupyterlab,https://security.snyk.io/vuln/SNYK-JS-NBDIMEJUPYTERLAB-1910929,CVE-2021-41134,False,<1.0.1 >=2.0.0 <2.1.1 ,https://github.com/jupyter/nbdime/commit/e44a5cc7677f24b45ebafc756db49058c2f750ea
Cross-site Scripting (XSS),nbdime,https://security.snyk.io/vuln/SNYK-JS-NBDIME-1910928,CVE-2021-41134,False,<5.0.2 >=6.0.0 <6.1.2 ,https://github.com/jupyter/nbdime/commit/e44a5cc7677f24b45ebafc756db49058c2f750ea
Cross-site Scripting (XSS),tempura,https://security.snyk.io/vuln/SNYK-JS-TEMPURA-1569633,CVE-2021-23784,True,<0.4.0 ,https://github.com/lukeed/tempura/commit/58a5c3671e2f36b26810e77ead9e0dd471902f9b
Prototype Pollution,jsonpointer,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577288,CVE-2021-23807,True,<5.0.0 ,https://github.com/janl/node-jsonpointer/commit/a0345f3550cd9c4d89f33b126390202b89510ad4
Prototype Pollution,json-ptr,https://security.snyk.io/vuln/SNYK-JS-JSONPTR-1577291,CVE-2021-23509,True,<3.0.0 ,https://github.com/flitbit/json-ptr/commit/5dc458fbad1c382a2e3ca6d62e66ede3d92849ca
Prototype Pollution,json-pointer,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577287,CVE-2021-23820,True,* ,
Prototype Pollution,dotty,https://security.snyk.io/vuln/SNYK-JS-DOTTY-1577292,CVE-2021-23624,True,<0.1.2 ,https://github.com/deoxxa/dotty/commit/88f61860dcc274a07a263c32cbe9d44c24ef02d7
Cross-site Scripting (XSS),bootstrap-table,https://security.snyk.io/vuln/SNYK-JS-BOOTSTRAPTABLE-1657597,CVE-2021-23472,True,<1.19.1 ,https://github.com/wenzhixin/bootstrap-table/commit/8a46a228b3ffb0b5f4123d46830bd216b9c51bf1
Arbitrary Code Execution,docker-cli-js,https://security.snyk.io/vuln/SNYK-JS-DOCKERCLIJS-1568516,CVE-2021-23732,True,* ,
Remote Code Execution (RCE),aaptjs,https://security.snyk.io/vuln/SNYK-JS-AAPTJS-1769273,CVE-2020-36381,False,* ,
Cross-site Scripting (XSS),froala-editor,https://security.snyk.io/vuln/SNYK-JS-FROALAEDITOR-1768466,CVE-2020-22864,False,* ,
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767175,CVE-2021-41184,False,<1.13.0 ,https://github.com/jquery/jquery-ui/commit/effa323f1505f2ce7a324e4f429fa9032c72f280
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767167,CVE-2021-41182,False,<1.13.0 ,https://github.com/jquery/jquery-ui/commit/32850869d308d5e7c9bf3e3b4d483ea886d373ce
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767767,CVE-2021-41183,False,<1.13.0 ,
Cross-site Scripting (XSS),pekeupload,https://security.snyk.io/vuln/SNYK-JS-PEKEUPLOAD-1584360,CVE-2021-23673,True,* ,
