Title,Package Name,Details Page,CVE,Affected Version
Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-rh6c-q938-3r9q,CVE-2013-7452,< 1.1.0
Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-552w-rqg8-gxxm,CVE-2013-7453,< 1.1.0
Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-qpjp-7rp2-9c3f,CVE-2013-7451,< 1.1.0
Moderate severity vulnerability that affects ember,ember,https://github.com//advisories/GHSA-vxp4-25qp-86qh,,">= 1.8.0, < 1.11.4>= 1.12.0, < 1.12.2>= 1.13.0, < 1.13.12>= 2.0.0, < 2.0.3>= 2.1.0, < 2.1.2>= 2.2.0, < 2.2.1"
Moderate severity vulnerability that affects handlebars,handlebars,https://github.com//advisories/GHSA-fmr4-7g9q-7hc7,,< 4.0.0
Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-9959-c6q6-6qp3,,< 2.0.0
Moderate severity vulnerability that affects marked,marked,https://github.com//advisories/GHSA-crmx-v835-hcp4,CVE-2017-17461,< 0.3.9
Cross-Site Scripting (XSS) in jquery,jquery,https://github.com//advisories/GHSA-rmxg-73gg-4p98,CVE-2015-9251,< 3.0.0
High severity vulnerability that affects pym.js,pym.js,https://github.com//advisories/GHSA-82gw-pqf7-q3j2,CVE-2018-1000086,">= 0.4.2, <= 1.3.1"
Malicious Package in eslint-scope,eslint-scope,https://github.com//advisories/GHSA-hxxf-q3w9-4xgw,,= 5.0.1= 3.7.2
Information Exposure on Case Insensitive File Systems in serve,serve,https://github.com//advisories/GHSA-686g-3xr3-x4x6,CVE-2018-3809,< 7.0.0
Directory Traversal in dgard8.lab6,dgard8.lab6,https://github.com//advisories/GHSA-xqfm-ff6g-24c7,CVE-2017-16218,<= 0.0.1
Directory Traversal in getcityapi.yoehoehne,getcityapi.yoehoehne,https://github.com//advisories/GHSA-4vcm-qfxh-p6c3,CVE-2017-16192,<= 0.0.1
Directory Traversal in ewgaddis.lab6,ewgaddis.lab6,https://github.com//advisories/GHSA-5x5w-v4xq-p64r,CVE-2017-16175,<= 0.1.1
