,Title,Package Name,Details Page,CVE,Affected Version
0,High severity vulnerability that affects electron,electron,https://github.com//advisories/GHSA-gvcj-pfq2-wxj7,CVE-2016-1202,< 0.33.5
1,Cross Site Scripting (XSS) in plotly.js,plotly.js,https://github.com//advisories/GHSA-2fqv-h3r5-m4vf,CVE-2017-1000006,< 1.16.0
2,Regular Expression Denial of Service in is-my-json-valid,is-my-json-valid,https://github.com//advisories/GHSA-f522-ffg8-j8r6,CVE-2016-2537,">= 2.0.0, < 2.17.2< 1.4.1"
3,Regular Expression Denial of Service in moment,moment,https://github.com//advisories/GHSA-87vv-r9j6-g5qv,CVE-2016-4055,< 2.11.2
4,XSS in dialog closeText in jquery-ui,jquery-ui,https://github.com//advisories/GHSA-hpcf-8vf9-q4gj,CVE-2016-7103,< 1.12.0
5,Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-rh6c-q938-3r9q,CVE-2013-7452,< 1.1.0
6,Directory Traversal in geddy,geddy,https://github.com//advisories/GHSA-333x-9vgq-v2j4,CVE-2015-5688,< 13.0.8
7,VBScript Content Injection in marked,marked,https://github.com//advisories/GHSA-cfjh-p3g4-3q2f,CVE-2015-1370,< 0.3.3
8,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-xqg8-cv3h-xppv,CVE-2015-1369,<= 2.0.0-rc7
9,Critical severity vulnerability that affects dns-sync,dns-sync,https://github.com//advisories/GHSA-q5pq-pgrv-fh89,CVE-2014-9682,< 0.1.1
10,Arbitrary JavaScript Execution in bassmaster,bassmaster,https://github.com//advisories/GHSA-5j3g-jfq3-7jwx,CVE-2014-7205,< 1.5.2
11,CORS Token Disclosure in crumb,crumb,https://github.com//advisories/GHSA-84fq-6626-w5fg,CVE-2014-7193,< 3.0.0
12,Potential for Script Injection in syntax-error,syntax-error,https://github.com//advisories/GHSA-5726-g6r9-5f22,CVE-2014-7192,< 1.1.1
13,Directory Traversal in send,send,https://github.com//advisories/GHSA-xwg4-93c6-3h42,CVE-2014-6394,< 0.8.4
14,File Descriptor Leak Can Cause DoS Vulnerability in hapi,hapi,https://github.com//advisories/GHSA-cqr7-78pj-3g7j,CVE-2014-3742,">= 2.0.0, < 2.2.0"
15,Denial-of-Service Memory Exhaustion in qs,qs,https://github.com//advisories/GHSA-jjv7-qpx3-h62q,CVE-2014-7191,< 1.0.0
16,Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-552w-rqg8-gxxm,CVE-2013-7453,< 1.1.0
17,Multiple XSS Filter Bypasses in validator,validator,https://github.com//advisories/GHSA-q4qq-fm7q-cwp5,CVE-2013-7454,< 1.1.0
18,Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-qpjp-7rp2-9c3f,CVE-2013-7451,< 1.1.0
19,Symlink Arbitrary File Overwrite in tar,tar,https://github.com//advisories/GHSA-gfjr-3jmm-4g9v,CVE-2015-8860,< 2.0.0
20,Cross-Site Scripting in mustache,mustache,https://github.com//advisories/GHSA-w3w8-37jv-2c58,CVE-2015-8862,< 2.2.1
21,Root Path Disclosure in send,send,https://github.com//advisories/GHSA-jgqf-hwc5-hh37,CVE-2015-8859,< 0.11.1
22,Regular Expression Denial of Service in semver,semver,https://github.com//advisories/GHSA-x6fg-f45m-jf5q,CVE-2015-8855,< 4.3.2
23,Regular Expression Denial of Service in uglify-js,uglify-js,https://github.com//advisories/GHSA-c9f4-xj24-8jqx,CVE-2015-8858,< 2.6.0
24,Regular Expression Denial of Service in marked,marked,https://github.com//advisories/GHSA-hjcp-j389-59ff,CVE-2015-8854,< 0.3.4
25,Cross-Site Scripting in serve-index,serve-index,https://github.com//advisories/GHSA-v633-x5vv-hqwc,CVE-2015-8856,< 1.6.3
26,Regular Expression Denial of Service in ms,ms,https://github.com//advisories/GHSA-3fx5-fwvr-xrjg,CVE-2015-8315,< 0.7.1
27,Incorrect Handling of Non-Boolean Comparisons During Minification in uglify-js,uglify-js,https://github.com//advisories/GHSA-34r7-q49f-h37c,CVE-2015-8857,< 2.4.24
28,Moderate severity vulnerability that affects ember,ember,https://github.com//advisories/GHSA-vxp4-25qp-86qh,,">= 1.8.0, < 1.11.4>= 1.12.0, < 1.12.2>= 1.13.0, < 1.13.12>= 2.0.0, < 2.0.3>= 2.1.0, < 2.1.2>= 2.2.0, < 2.2.1"
29,Moderate severity vulnerability that affects handlebars,handlebars,https://github.com//advisories/GHSA-fmr4-7g9q-7hc7,,< 4.0.0
30,Moderate severity vulnerability that affects validator,validator,https://github.com//advisories/GHSA-9959-c6q6-6qp3,,< 2.0.0
31,Deserialization Code Execution in js-yaml,js-yaml,https://github.com//advisories/GHSA-xxvw-45rp-3mj2,CVE-2013-4660,< 2.0.5
32,Moderate severity vulnerability that affects jquery-ui,jquery-ui,https://github.com//advisories/GHSA-qqxp-xp9v-vvx6,CVE-2012-6662,< 1.1.0
33,Cross-site Scripting in jquery-ui,jquery-ui,https://github.com//advisories/GHSA-wcm2-9c89-wmfm,CVE-2010-5312,">= 1.7.0, < 1.10.0"
34,Cross-Site Scripting in keystone,keystone,https://github.com//advisories/GHSA-7qcx-jmrc-h2rr,CVE-2017-15878,< 4.0.0
35,High severity vulnerability that affects keycloak-connect and keycloak-js,keycloak-js,https://github.com//advisories/GHSA-mw35-24gh-f82w,CVE-2017-7474,">= 2.5, < 3.1.0>= 2.5, < 3.1.0"
36,Moderate severity vulnerability that affects keystone,keystone,https://github.com//advisories/GHSA-6494-v9fq-fgq2,CVE-2017-15879,<= 4.0.0-beta5
37,Cross-Site Scripting in keystone,keystone,https://github.com//advisories/GHSA-7cv6-gvx3-m54m,CVE-2017-15881,<= 4.0.0-beta6
38,Potential Command Injection in codem-transcode,codem-transcode,https://github.com//advisories/GHSA-rph7-j9qr-h8q8,CVE-2013-7377,< 0.5.0
39,Potential Command Injection in printer,printer,https://github.com//advisories/GHSA-5c8j-xr24-2665,CVE-2014-3741,<= 0.0.1
40,Cross-Site Request Forgery (CSRF) in keystone,keystone,https://github.com//advisories/GHSA-q43c-g2g7-6gxj,CVE-2017-16570,<= 4.0.0-beta.6
41,Moderate severity vulnerability that affects ejs,ejs,https://github.com//advisories/GHSA-hwcf-pp87-7x6p,CVE-2017-1000188,< 2.5.5
42,High severity vulnerability that affects ejs,ejs,https://github.com//advisories/GHSA-6x77-rpqf-j6mw,CVE-2017-1000189,< 2.5.5
43,High severity vulnerability that affects ejs,ejs,https://github.com//advisories/GHSA-3w5v-p54c-f74x,CVE-2017-1000228,< 2.5.3
44,High severity vulnerability that affects next,next,https://github.com//advisories/GHSA-3f5c-4qxj-vmpf,CVE-2017-16877,">= 1.0.0, < 2.4.1"
45,Arbitrary Code Execution in mathjs,mathjs,https://github.com//advisories/GHSA-vx5c-87qx-cv6c,CVE-2017-1001002,< 3.17.0
46,Arbitrary Code Execution in mathjs,mathjs,https://github.com//advisories/GHSA-pv8x-p9hq-j328,CVE-2017-1001003,< 3.17.0
47,High severity vulnerability that affects auth0-js,auth0-js,https://github.com//advisories/GHSA-3rpr-mg43-xhq4,CVE-2017-17068,< 8.12.0
48,Denial of Service in ecstatic,ecstatic,https://github.com//advisories/GHSA-pm9p-9926-w68m,CVE-2016-10703,< 2.0.0
49,Denial of Service in mqtt,mqtt,https://github.com//advisories/GHSA-h9mj-fghc-664w,CVE-2017-10910,">= 2.0.0, < 2.15.0"
50,High severity vulnerability that affects passport-wsfed-saml2,passport-wsfed-saml2,https://github.com//advisories/GHSA-7fpw-cfc4-3p2c,CVE-2017-16897,< 3.0.5
51,Authentication Bypass in samlify,samlify,https://github.com//advisories/GHSA-8jjf-w7j6-323c,CVE-2017-1000452,< 2.3.0
52,Moderate severity vulnerability that affects marked,marked,https://github.com//advisories/GHSA-crmx-v835-hcp4,CVE-2017-17461,< 0.3.9
53,Moderate severity vulnerability that affects marked,marked,https://github.com//advisories/GHSA-7px7-7xjx-hxm8,CVE-2017-1000427,< 0.3.7
54,Cross-Site Scripting (XSS) in jquery,jquery,https://github.com//advisories/GHSA-rmxg-73gg-4p98,CVE-2015-9251,< 3.0.0
55,Denial of Service in jquery,jquery,https://github.com//advisories/GHSA-mhpp-875w-9cpv,CVE-2016-10707,"> 2.1.0, < 3.0.0"
56,Remote Code Execution in electron,electron,https://github.com//advisories/GHSA-w222-53c6-c86p,CVE-2018-1000006,">= 1.7.0, < 1.7.11>= 1.6.0, < 1.6.16>= 1.8.0, <= 1.8.2-beta.3"
57,High severity vulnerability that affects next,next,https://github.com//advisories/GHSA-m34x-wgrh-g897,CVE-2018-6184,">= 1.0.0, < 4.2.3"
58,ReDoS in brace-expansion,brace-expansion,https://github.com//advisories/GHSA-832h-xg76-4gv6,CVE-2017-18077,< 1.1.7
59,Moderate severity vulnerability that affects aws-lambda-multipart-parser,aws-lambda-multipart-parser,https://github.com//advisories/GHSA-6jqp-j69q-pm62,CVE-2018-7560,< 0.1.2
60,Regular Expression Denial of Service in moment,moment,https://github.com//advisories/GHSA-446m-mv8f-q348,CVE-2017-18214,< 2.19.3
61,Low severity vulnerability that affects insight-api,insight-api,https://github.com//advisories/GHSA-8p2p-p8mg-x3cw,CVE-2018-1000023,<= 5.0.0
62,Moderate severity vulnerability that affects auth0-js,auth0-js,https://github.com//advisories/GHSA-wpq7-q8j4-72jg,CVE-2018-7307,< 9.3.0
63,Moderate severity vulnerability that affects electron,electron,https://github.com//advisories/GHSA-fjqr-fx3f-g4rv,CVE-2018-1000118,<= 1.8.2-beta4
64,Regular Expression Denial of Service in ssri,ssri,https://github.com//advisories/GHSA-325j-24f4-qv5x,CVE-2018-7651,< 5.2.2
65,High severity vulnerability that affects pym.js,pym.js,https://github.com//advisories/GHSA-82gw-pqf7-q3j2,CVE-2018-1000086,">= 0.4.2, <= 1.3.1"
66,High severity vulnerability that affects tiny-json-http,tiny-json-http,https://github.com//advisories/GHSA-7h42-5vj2-cq39,CVE-2018-1000096,">= 1.0.1, < 7.0.0"
67,Code Execution by Re-enabling Node.js integration in electron,electron,https://github.com//advisories/GHSA-8xwg-wv7v-4vqp,CVE-2018-1000136,">= 1.7, < 1.7.12>= 1.8, < 1.8.3>= 2.0.0-beta.1, <= 2.0.0-beta.2"
68,Cross-Site Scripting in @risingstack/protect,@risingstack/protect,https://github.com//advisories/GHSA-vpch-rxw3-fgx8,CVE-2018-1000160,<= 1.2.0
69,Prototype Pollution in hoek,hoek,https://github.com//advisories/GHSA-jp4x-w63m-7wgm,CVE-2018-3728,">= 5.0.0, < 5.0.3< 4.2.1"
70,Cross-Site Scripting in @ckeditor/ckeditor5-link,@ckeditor/ckeditor5-link,https://github.com//advisories/GHSA-gvpx-9459-w3mj,CVE-2018-11093,">= 0.3.0, < 10.0.1"
71,Command Injection in pdfinfojs,pdfinfojs,https://github.com//advisories/GHSA-3pxp-6963-46r9,CVE-2018-3746,< 0.4.1
72,Arbitrary Code Injection in reduce-css-calc,reduce-css-calc,https://github.com//advisories/GHSA-4662-j96g-mv46,CVE-2016-10548,< 1.2.5
73,Denial of Service in ecstatic,ecstatic,https://github.com//advisories/GHSA-vwjc-q9px-r9vq,CVE-2015-9242,< 1.4.0
74,Denial of Service in hapi,hapi,https://github.com//advisories/GHSA-rc8h-3fv6-pxv8,CVE-2015-9241,< 11.1.3
75,Authentication Weakness in keystone,keystone,https://github.com//advisories/GHSA-39pj-gq8q-9pfj,CVE-2015-9240,< 0.3.16
76,Incorrect handling of CORS preflight request headers in hapi,hapi,https://github.com//advisories/GHSA-vwrf-r5r4-7775,CVE-2015-9236,< 11.0.0
77,Command Injection in growl,growl,https://github.com//advisories/GHSA-qh2h-chj9-jffq,CVE-2017-16042,< 1.10.0
78,Malicious Package in eslint-scope,eslint-scope,https://github.com//advisories/GHSA-hxxf-q3w9-4xgw,,= 5.0.1= 3.7.2
79,Code Execution Through IIFE in serialize-to-js,serialize-to-js,https://github.com//advisories/GHSA-mm62-wxc8-cf7m,CVE-2017-5954,<= 0.5.0
