Vulnerability,Package Name,Details Page,CVE,POC Available,Affected Version,Github Link
Remote Code Execution (RCE),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-2308230,CVE-2020-27193,False,<4.15.1 ,n/a
Arbitrary File Upload,plupload,https://security.snyk.io/vuln/SNYK-JS-PLUPLOAD-1583909,CVE-2021-23562,False,<2.3.9 ,https://github.com/moxiecode/plupload/commit/d12175d4b5fa799b994ee1bb17bfbeec55b386fb
Remote Code Execution (RCE),@backstage/plugin-scaffolder-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-2308016,,False,<0.15.14 ,https://github.com/backstage/backstage/commit/a096e4c4d78bab2d392af5b768eb4f87b9f4401c
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932551,CVE-2021-37981,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/7313f7ebeb007c51c3de58ebf6f6726ae91fd7e3
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932549,CVE-2021-37984,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 ,https://github.com/electron/electron/commit/841673791712dab54ee4b1106760734cf896c522
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932547,CVE-2021-37987,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/6cc7de5c13120b24f1f89c624189327b90009003
Improper Input Validation,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932542,CVE-2021-37996,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/e61cbbd13eac82e62443315fce7f57277b0e4779
Out-of-bound Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932540,CVE-2021-38003,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.2 >=14.0.0 <14.2.1 ,https://github.com/electron/electron/commit/a3be71d6e7eca82558cf4a331aac476c1b2a4dff
Out-of-bounds Read,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932545,CVE-2021-37992,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/a83d1fe68a11b4236c1421221579739da33dc327
Cross-site Scripting (XSS),hexo,https://security.snyk.io/vuln/SNYK-JS-HEXO-1932976,CVE-2021-25987,False,<6.0.0 ,https://github.com/hexojs/hexo/pull/4743/commits/5170df2d3fa9c69e855c4b7c2b084ebfd92d5200
Malicious Package,richdocuments,https://security.snyk.io/vuln/SNYK-JS-RICHDOCUMENTS-1932565,,False,* ,n/a
Directory Traversal,@backstage/plugin-scaffolder-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-1932570,CVE-2021-43783,False,<0.15.14 ,https://github.com/backstage/backstage/commit/f9352ab606367cd9efc6ff048915c70ed3013b7f
Prototype Pollution,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1932612,CVE-2021-43787,False,* ,https://github.com/NodeBB/NodeBB/commit/1783f918bc19568f421473824461ff2ed7755e4c
Improper Authentication,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1932613,CVE-2021-43786,False,* ,https://github.com/NodeBB/NodeBB/commit/04dab1d550cdebf4c1567bca9a51f8b9ca48a500
Remote Code Execution (RCE),@vue/cli,https://security.snyk.io/vuln/SNYK-JS-VUECLI-1731684,,False,<4.5.14 >=5.0.0-alpha.0 <5.0.0-beta.6 ,https://github.com/vuejs/vue-cli/commit/0266bbbfecbdb2f1709948057ffcf818de085fa3
XML External Entity (XXE) Injection,@theia/core,https://security.snyk.io/vuln/SNYK-JS-THEIACORE-1932561,CVE-2021-34436,False,>=0.1.1 <0.2.1 ,n/a
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932538,CVE-2021-37979,False,>=12.0.0 <12.2.3 >=13.0.0 <13.5.2 >=14.0.0 <14.2.0 ,https://github.com/electron/electron/commit/4b969e90bf46a32cdf131cd69aa731eb1c47ed19
