Vulnerability,Package Name,Details Page,CVE,POC Available,Affected Version,Github Link
Remote Code Execution (RCE),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-2308230,CVE-2020-27193,False,<4.15.1 ,
Remote Code Execution (RCE),@backstage/plugin-scaffolder-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-2308016,,False,<0.15.14 ,https://github.com/backstage/backstage/commit/a096e4c4d78bab2d392af5b768eb4f87b9f4401c
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932551,CVE-2021-37981,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/7313f7ebeb007c51c3de58ebf6f6726ae91fd7e3
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932549,CVE-2021-37984,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 ,https://github.com/electron/electron/commit/841673791712dab54ee4b1106760734cf896c522
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932547,CVE-2021-37987,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/6cc7de5c13120b24f1f89c624189327b90009003
Improper Input Validation,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932542,CVE-2021-37996,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/e61cbbd13eac82e62443315fce7f57277b0e4779
Out-of-bound Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932540,CVE-2021-38003,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.2 >=14.0.0 <14.2.1 ,https://github.com/electron/electron/commit/a3be71d6e7eca82558cf4a331aac476c1b2a4dff
Out-of-bounds Read,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932545,CVE-2021-37992,False,>=12.0.0 <12.2.3 >=13.0.0 <13.6.1 >=14.0.0 <14.2.1 >=15.0.0 <15.3.1 ,https://github.com/electron/electron/commit/a83d1fe68a11b4236c1421221579739da33dc327
Malicious Package,richdocuments,https://security.snyk.io/vuln/SNYK-JS-RICHDOCUMENTS-1932565,,False,* ,
Remote Code Execution (RCE),@vue/cli,https://security.snyk.io/vuln/SNYK-JS-VUECLI-1731684,,False,<4.5.14 >=5.0.0-alpha.0 <5.0.0-beta.6 ,https://github.com/vuejs/vue-cli/commit/0266bbbfecbdb2f1709948057ffcf818de085fa3
XML External Entity (XXE) Injection,@theia/core,https://security.snyk.io/vuln/SNYK-JS-THEIACORE-1932561,CVE-2021-34436,False,>=0.1.1 <0.2.1 ,
Out-of-bounds Write,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1932538,CVE-2021-37979,False,>=12.0.0 <12.2.3 >=13.0.0 <13.5.2 >=14.0.0 <14.2.0 ,https://github.com/electron/electron/commit/4b969e90bf46a32cdf131cd69aa731eb1c47ed19
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912075,CVE-2021-38002,False,>=14.0.0 <14.2.1 <13.6.2 ,
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912074,CVE-2021-37998,False,>=14.0.0 <14.2.1 >=13.0.0 <13.6.2 <12.2.3 ,
Type Confusion,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1911949,CVE-2021-38001,True,>=14.0.0 <14.2.1 >=13.0.0 <13.6.2 <12.2.3 ,
Heap-based Buffer Overflow,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912084,CVE-2021-37979,False,>=14.0.0 <14.2.0 >=13.0.0 <13.5.2 <12.2.3 ,
Cross-site Scripting (XSS),ag-grid-community,https://security.snyk.io/vuln/SNYK-JS-AGGRIDCOMMUNITY-1932011,,True,<25.2.0 ,
Cross-site Scripting (XSS),@claviska/jquery-minicolors,https://security.snyk.io/vuln/SNYK-JS-CLAVISKAJQUERYMINICOLORS-1930824,,False,<2.3.6 ,https://github.com/claviska/jquery-minicolors/commit/ef134824a7f4110ada53ea6c173111a4fa2f48f3
Prototype Pollution,utils-copy,https://security.snyk.io/vuln/SNYK-JS-UTILSCOPY-1766956,,True,* ,
Cross-site Scripting (XSS),@factor/plugin-forum,https://security.snyk.io/vuln/SNYK-JS-FACTORPLUGINFORUM-1921263,CVE-2021-25984,False,>=1.3.3 ,
Authentication Bypass,@factor/cli,https://security.snyk.io/vuln/SNYK-JS-FACTORCLI-1921262,CVE-2021-25985,False,>=1.1.0 <3.0.1 ,
Regular Expression Denial of Service (ReDoS),terminal-kit,https://security.snyk.io/vuln/SNYK-JS-TERMINALKIT-1734787,,True,<2.1.8 ,https://github.com/cronvel/terminal-kit/commit/a2e446cc3927b559d0281683feb9b821e83b758c
