Vulnerability,Package Name,Details Page,CVE,POC Available,Affected Version,Github Link
Prototype Pollution,utils-copy,https://security.snyk.io/vuln/SNYK-JS-UTILSCOPY-1766956,,True,* ,
Code Injection,obsidian-dataview,https://security.snyk.io/vuln/SNYK-JS-OBSIDIANDATAVIEW-1912069,CVE-2021-42057,True,* ,
Prototype Pollution,@brikcss/merge,https://security.snyk.io/vuln/SNYK-JS-BRIKCSSMERGE-1727594,,True,* ,
Code Injection,docker-cli-js,https://security.snyk.io/vuln/SNYK-JS-DOCKERCLIJS-1568516,CVE-2021-23732,True,* ,
Code Injection,@asyncapi/modelina,https://security.snyk.io/vuln/SNYK-JS-ASYNCAPIMODELINA-1657554,,True,* ,
ReDoS,taro,https://security.snyk.io/vuln/SNYK-JS-TARO-1585633,CVE-2021-3804,True,* ,https://github.com/NervJS/taro/commit/acadb6c826ba57f2030a626f1de4f7b4608fcdb5
ReDoS,@vuelidate/validators,https://security.snyk.io/vuln/SNYK-JS-VUELIDATEVALIDATORS-1585154,CVE-2021-3794,True,<2.0.0-alpha.22 ,https://github.com/vuelidate/vuelidate/commit/1f0ca31c30e5032f00dbd14c4791b5ee7928f71d
ReDoS,prismjs,https://security.snyk.io/vuln/SNYK-JS-PRISMJS-1585202,CVE-2021-3801,True,<1.25.0 ,https://github.com/PrismJS/prism/commit/0ff371bb4775a131634f47d0fe85794c547232f9
ReDoS,ansi-regex,https://security.snyk.io/vuln/SNYK-JS-ANSIREGEX-1583908,CVE-2021-3807,True,>=6.0.0 <6.0.1 >2.1.1 <5.0.1 ,https://github.com/chalk/ansi-regex/commit/8d1d7cdb586269882c4bdc1b7325d0c58c8f76f9
Prototype Pollution,body-parser-xml,https://security.snyk.io/vuln/SNYK-JS-BODYPARSERXML-1584211,CVE-2021-3666,True,<2.0.3 ,
Command Injection,rebber,https://security.snyk.io/vuln/SNYK-JS-REBBER-1583439,,True,<5.2.1 ,https://github.com/zestedesavoir/zmarkdown/commit/db3fd70576028364e7168b3aec8600cf80b7a111
Path Traversal,gun,https://security.snyk.io/vuln/SNYK-JS-GUN-1583448,,True,<0.2019.416 ,
Path Traversal,startserver,https://security.snyk.io/vuln/SNYK-JS-STARTSERVER-1296388,CVE-2021-23430,True,* ,
Code Injection,pac-resolver,https://security.snyk.io/vuln/SNYK-JS-PACRESOLVER-1564857,CVE-2021-23406,True,<5.0.0 ,https://github.com/TooTallNate/node-degenerator/commit/ccc3445354135398b6eb1a04c7d27c13b833f2d5
Command Injection,@diez/generation,https://security.snyk.io/vuln/SNYK-JS-DIEZGENERATION-1566823,CVE-2021-32830,True,* ,
Prototype Pollution,ioredis,https://security.snyk.io/vuln/SNYK-JS-IOREDIS-1567196,,True,<4.27.8 ,https://github.com/luin/ioredis/commit/7d73b9d07b52ec077f235292aa15c7aca203bba9
Prototype Pollution,open-graph,https://security.snyk.io/vuln/SNYK-JS-OPENGRAPH-1536747,CVE-2021-23419,True,<0.2.6 ,https://github.com/samholmes/node-open-graph/commit/a0cef507a90adaac7dbbe9c404f09a50bdefb348
Command Injection,gitlogplus,https://security.snyk.io/vuln/SNYK-JS-GITLOGPLUS-1315832,CVE-2021-23412,True,* ,
Code Injection,total4,https://security.snyk.io/vuln/SNYK-JS-TOTAL4-1130527,CVE-2021-23390,True,<0.0.43 ,https://github.com/totaljs/framework4/commit/8a72d8c20f38bbcac031a76a51238aa528f68821
